path,label,raw_text,text
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260503093245_100166.png,Banner aplicación,"No se ha podido iniciar
sesión
Alguno de los datos
introducidos es incorrecto.
Por razones de seguridad, tu

acceso se bloqueará al tercer
intento.

* No dejes espacios en blanco
en tu identificador ni en tu
contraseña.

* TU contraseña tiene un máximo
de 10 dígitos y puede contener
números y letras.

Cambiar contraseña",no podido iniciar sesión alguno de los datos introducidos es incorrecto por razones de seguridad acceso tercer intento no dejes espacios en blanco en identificador en contraseña contraseña tiene un máximo de dígitos puede contener números letras cambiar contraseña
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260519212756_100051.png,Banner aplicación,"Firma

)

Activa de nuevo tu firma

Para poder realizar operaciones, vuelve a
activar la firma en este dispositivo.",firma activa de nuevo firma para poder realizar operaciones vuelve activar la firma en este dispositivo
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260519212944_100051.png,Banner aplicación,"Firma

)

Activa de nuevo tu firma

Para poder realizar operaciones, vuelve a
activar la firma en este dispositivo.",firma activa de nuevo firma para poder realizar operaciones vuelve activar la firma en este dispositivo
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260520124119_100126.png,Banner aplicación,"CUENTA ESTRELLA

11.050,25€

Últimos movimientos                    Ver todo

27 Dic Internet                -82,00€
27 Dic Alojamiento              -60,00€

26 Dic Comida                          -22,40€

Mis Tarjetas                    Ver todas

¡Bienvenido!

Te damos la bienvenida a la app
CaixaBankNow.",estrella últimos ver dic internet dic alojamiento dic comida mis ver todas bienvenido damos la bienvenida la app
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260520190000_100098.png,Banner aplicación,"Hi, this 1s Temu Customer Servize.
Vinat can we do tor ycu?

Coutd you pis let me xnow wnere — M      ,

Temu- Shop Like a Billionaire

WhaleCo, Inc.
K1 Compras                                >
5,0%                 3M+
Valoración              Descargas                21,9 MB

shop on Temu for amazing offers                       Más
Y Versión oficial - Y) Sin virus                  Informe
Aplicaciones que podrían gustarte            >

ShortMax - Watch Dramas € Sh...
42 Aplicaciones de vídeo                     Instalar
49x 48 MB",this customer can tor you pis let shop like billionaire inc compras valoración descargas shop for amazing offers más versión oficial sin virus informe aplicaciones que podrían watch dramas aplicaciones de vídeo instalar
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260520200706_100193.png,Banner aplicación,"3

Información sobre los
Datos mostrados en
CaixaBank Broker

Los datos que mostramos
en CaixaBank Broker

son proporcionados por
Proveedores de Datos. Debes
saber que:

* Los datos solo pueden
utilizarse dentro de
CaixaBank Broker

* No se pueden distribuir, ni
publicar ni utilizar para otros

fines.

* El uso de los datos sin el

permiso de los proveedores         SO7

podría conllevar sanciones.

' No nos hacemos

responsables de ningún daño        —
o perjuicio derivado del uso             |

de la información.

Aceptar condiciones

Acaer con hueta

¿Eñes AVEVO?",información sobre los datos mostrados en broker los datos que mostramos en broker son proporcionados por proveedores de datos debes saber que los datos solo pueden utilizarse dentro de broker no pueden distribuir publicar utilizar para otros fines el uso de los datos sin el permiso de los proveedores podría sanciones no nos hacemos responsables de ningún daño perjuicio derivado del uso de la información aceptar condiciones con
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521003212_100168.png,Banner aplicación,"Activar firma                      X

DECOUO

Olvídate de códigos y SMS
que no llegan

Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

9 00

Activarfirma — .

/7'",activar firma olvídate de códigos que no llegan con la nueva forma de firmar tus operaciones no necesitarás tener cobertura
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521030904_100168.png,Banner aplicación,"Activar firma                      X

DECOUO

Olvídate de códigos y SMS
que no llegan

Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

9 00

Activarfirma — .

/7'",activar firma olvídate de códigos que no llegan con la nueva forma de firmar tus operaciones no necesitarás tener cobertura
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521091342_100168.png,Banner aplicación,"Activar firma                      X

DECOUO

Olvídate de códigos y SMS
que no llegan

Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

9 00

Activarfirma — .

/7'",activar firma olvídate de códigos que no llegan con la nueva forma de firmar tus operaciones no necesitarás tener cobertura
C:\Users\ibf\Desktop\TFM\Nou_projecte\Data\Banner aplicación\20260521103956_100168.png,Banner aplicación,"Activar firma                      X

DECOUO

Olvídate de códigos y SMS
que no llegan

Con la nueva forma de firmar tus operaciones,
no necesitarás tener cobertura.

9 00

Activarfirma — .

/7'",activar firma olvídate de códigos que no llegan con la nueva forma de firmar tus operaciones no necesitarás tener cobertura
